City,Neighborhood,park.num,heal.num,lib.num,rest.num,pop,area,rent0,rent1,rent2,rent3,rent4,density
SF,St. Francis Wood/Miraloma/West Portal,1,1,1,69,19289,4594824,2280,2780,3440,4720,5640,0.004197985
SF,Sunset,3,3,2,251,56023,6122506,2360,2880,3560,4880,5840,0.009150338
SF,Twin Peaks-Glen Park,0,0,1,47,26881,5436598,2420,2960,3660,5020,6020,0.004944452
SF,Visitacion Valley/Sunnydale,3,3,2,73,40798,6306233,2080,2540,3140,4300,5160,0.006469472
SF,Western Addition/Japantown,5,5,2,235,33021,2889747,2440,3000,3700,5060,6080,0.011426952
Austin,Central,12,12,3,3428,125642,97904187,1136.666667,1393.333333,1756.666667,2376.666666,2880,0.001283316
Austin,Downtown,3,3,8,3238,47865,33099791,1533.333333,1886.666667,2373.333334,3213.333334,3893.333334,0.001446082
Austin,East,0,0,0,158,21696,68301569,1440,1760,2220,3000,3640,0.00031765
Austin,East Central,0,0,2,920,34231,21894229,1280,1570,1980,2680,3250,0.001563471
Austin,North,6,6,1,1849,64371,45094438,1290,1590,2000,2710,3280,0.001427471
Austin,North Central,2,2,2,2083,60201,48777101,1370,1680,2110,2850,3460,0.001234206
Austin,Northeast,0,0,0,1313,64337,62736591,1240,1510,1900,2580,3120,0.00102551
Austin,Northwest,0,0,1,1167,66625,85105018,1473.333333,1800,2266.666666,3073.333334,3720,0.000782856
Austin,South Central,2,2,1,1540,42117,22831865,1340,1640,2060,2780,3380,0.001844659
Austin,Southeast,0,0,1,699,57628,117026493,1420,1750,2200,2980,3610,0.000492436
Austin,Southwest,0,0,4,3795,188647,260058529,1445.714286,1774.285714,2234.285714,3022.857142,3662.857142,0.000725402
Austin,West,0,0,0,358,22015,80693433,1760,2170,2720,3680,4460,0.000272823
Austin,West Central,2,2,1,533,24614,22804475,1420,1740,2180,2960,3580,0.00107935
