ZipCode,Area
3779,106917387
3780,42305669
3781,124240500
3782,64821365
3784,23677453
3785,156779535
3801,75903171
3809,107044525
3810,107368825
3811,29265530
3812,157013566
3813,254512117
3814,93270744
3816,89821247
3817,26957261
3818,222448267
3819,30813585
3820,78430815
3823,28403772
3824,64196460
3825,124429134
3826,7372188
3827,46538758
3830,38542576
3832,68056232
3833,127295412
3835,97219004
3836,98732190
3837,53905361
3838,60083248
3839,21976960
3840,34440661
3841,29692189
3842,35592352
3844,32777926
3845,34433931
3846,168479084
3847,2209184
3848,54069952
3849,66247500
3850,9869939
3851,69916638
3852,19035941
3853,27215021
3854,5897294
3855,114347299
3856,18795090
3857,36829483
3858,26055004
3860,53064485
3861,52221652
3862,36072742
3864,90475602
3865,27578269
3867,78266006
3868,19577504
3869,19129577
3870,33500190
3871,1089821
3872,131129050
3873,35732520
3874,24987317
3875,40812765
3878,26392457
3882,102564010
3883,33237964
3884,131233201
3885,40127768
3886,99807319
3887,54247399
3890,12011261
3894,153919860
3901,98378299
3902,52740038
3903,55264110
3904,32700461
3905,21656821
3906,99435367
3907,11966461
3908,84624585
3909,99705122
3910,1033793
3911,3494344
4001,101829441
4002,176564096
4003,54850074
4005,138522576
4006,194734
4008,108674403
4009,172063458
4010,117722769
4011,140718167
4015,88417611
4017,50820050
4019,15228015
4020,57941015
4021,53491253
4022,129329232
4024,41521911
4027,144591344
4029,90348608
4030,45449219
4032,120355379
4037,233531370
4038,132820050
4039,107710711
4040,165191577
4041,100325583
4042,85456398
4043,93773458
4046,122930194
4047,153494350
4048,75959874
4049,109298168
4050,37292944
4051,125352128
4055,94611383
4056,15020730
4057,142740
4061,52731699
4062,128846434
4063,1742189
4064,19322276
4066,10714320
4068,85458462
4069,59230962
4071,112858708
4072,107370144
4073,98916770
4074,136184355
4076,106725397
4079,151586567
4083,26323214
4084,126401271
4085,32030856
4086,92190939
4087,49860276
4088,131252318
4090,152161389
4091,51827344
4092,44931266
4093,106790361
4095,77849698
4096,59428667
4097,55478939
4101,7526363
4102,16854834
4103,28546195
4105,93862284
4106,36881517
4107,54146980
4108,4788742
4109,31722918
4110,14486490
4210,170138597
4216,367652733
4217,480704024
4219,162041408
4220,205564952
4221,87929101
4222,101121526
4224,193740467
4226,27985775
4227,1465452
4228,220043
4231,90571399
4234,848752
4236,91131198
4237,19559151
4238,58376814
4239,127421004
4240,92034620
4250,32963105
4252,28760221
4253,102031760
4254,52670992
4255,101635071
4256,29576429
4257,61055665
4258,77199088
4259,88857425
4260,123814307
4261,545641174
4263,112437222
4265,20743551
4267,5833696
4268,124121448
4270,223037969
4271,467501
4274,121537330
4275,250427023
4276,180896968
4280,113273124
4281,105647198
4282,162441862
4284,58706523
4285,176193613
4286,145209
4287,115387407
4289,63235833
4290,123284213
4292,116307977
4294,153342930
4330,320421801
4342,86022106
4343,1315314
4344,29878673
4345,197733307
4346,5778999
4347,15764775
4348,212714751
4349,84300568
4350,101744432
4351,58181687
4352,110025843
4353,123040152
4354,112844184
4355,80436885
4357,81712052
4358,146980158
4359,2957181
4360,65787520
4363,92003952
4364,95707318
4401,275895976
4406,239750738
4408,340987483
4410,106666156
4411,113195597
4412,40624128
4413,168372406
4414,662645756
4415,4211114
4416,169119784
4417,169028217
4418,382763128
4419,95558823
4421,51834368
4422,105064200
4424,315261582
4426,423487471
4427,104108159
4428,161721260
4429,198877344
4430,25838937
4431,1120103
4434,64667719
