zip code,population,Lat,Lon,latitude.y,longitude.y,city,state,county
692,37511,18.4101875,-66.3365557,18.435818,-66.338523,Vega Alta,PR,Vega Alta
693,61038,18.4230235,-66.3972298,18.443109,-66.398302,Vega Baja,PR,Vega Baja
694,328,18.4823698,-66.3910788,18.443109,-66.398302,Vega Baja,PR,Vega Baja
698,41782,18.0648484,-66.8563194,18.06104,-66.861164,Yauco,PR,Yauco
703,28605,18.2484007,-66.1306624,18.250398,-66.12845,Aguas Buenas,PR,Aguas Buenas
704,8577,17.96577,-66.2195545,17.99229,-66.139253,Aguirre,PR,Guayama
705,25598,18.1289613,-66.2666829,18.128092,-66.268717,Aibonito,PR,Aibonito
707,12225,18.0136482,-65.9207116,18.007014,-65.898719,Maunabo,PR,Maunabo
714,19566,18.000198,-66.0429433,17.96751,-66.04138,Arroyo,PR,Arroyo
715,3656,18.0112326,-66.5600648,18.011854,-66.563721,Mercedita,PR,Ponce
716,33779,17.9905666,-66.6075419,18.001995,-66.607429,Ponce,PR,Ponce
717,18457,18.0032217,-66.6140369,18.001995,-66.607429,Ponce,PR,Ponce
718,26606,18.2319882,-65.7596231,18.22139,-65.77831,Naguabo,PR,Naguabo
719,30990,18.2899272,-66.2534401,18.298017,-66.229751,Naranjito,PR,Naranjito
720,23129,18.2179456,-66.4280762,18.226862,-66.39402,Orocovis,PR,Orocovis
723,19277,18.0438218,-66.0155782,18.009994,-66.010572,Patillas,PR,Patillas
725,89374,18.2188191,-66.0423752,18.212965,-66.058033,Caguas,PR,Caguas
727,58382,18.2153077,-66.0735649,18.212965,-66.058033,Caguas,PR,Caguas
728,44908,17.9898529,-66.6641162,18.001995,-66.607429,Ponce,PR,Ponce
729,53750,18.3298291,-65.8851422,18.333093,-65.883864,Canovanas,PR,Canovanas
730,35742,18.0308311,-66.616838,18.001995,-66.607429,Ponce,PR,Ponce
731,15524,18.1080386,-66.6346533,18.03831,-66.626344,Ponce,PR,Ponce
735,13730,18.2526042,-65.6824939,18.264872,-65.594769,Ceiba,PR,Ceiba
736,51532,18.103624,-66.1516668,18.102967,-66.139274,Cayey,PR,Cayey
738,34922,18.3044582,-65.6987107,18.359381,-65.611361,Fajardo,PR,Fajardo
739,39678,18.1772655,-66.1605772,18.181469,-66.169519,Cidra,PR,Cidra
740,2071,18.3311595,-65.6341199,18.331958,-65.63878,Puerto Real,PR,Fajardo
741,4971,18.1637455,-65.754021,18.162156,-65.753485,Punta Santiago,PR,Humacao
745,55062,18.3528395,-65.817813,18.367347,-65.816583,Rio Grande,PR,Rio Grande
751,23129,18.0013169,-66.2521834,17.99852,-66.264825,Salinas,PR,Salinas
754,40828,18.1471305,-65.9762887,18.187584,-65.962389,San Lorenzo,PR,San Lorenzo
757,23263,17.9954412,-66.3913342,17.991233,-66.395543,Santa Isabel,PR,Santa Isabel
765,9098,18.1300959,-65.4393694,18.123347,-65.460356,Vieques,PR,Vieques
766,26488,18.1331964,-66.4769157,18.120519,-66.496607,Villalba,PR,Villalba
767,38019,18.0694127,-65.8964896,18.045522,-65.886988,Yabucoa,PR,Yabucoa
769,40248,18.1037997,-66.3575862,18.095992,-66.35081,Coamo,PR,Coamo
771,38394,18.1872011,-65.8711961,18.196576,-65.87197,Las Piedras,PR,Las Piedras
772,23105,18.438969,-65.9051744,18.447406,-65.899357,Loiza,PR,Loiza
773,20068,18.3437986,-65.7263783,18.366027,-65.708138,Luquillo,PR,Luquillo
775,1786,18.3274853,-65.2959771,18.323736,-65.296467,Culebra,PR,Culebra
777,40684,18.2241334,-65.9085417,18.206489,-65.901774,Juncos,PR,Juncos
778,45429,18.2630231,-65.9790777,18.259092,-65.974641,Gurabo,PR,Gurabo
780,13800,18.102834,-66.5681048,18.001995,-66.607429,Coto Laurel,PR,Ponce
782,19304,18.2257085,-66.2216326,18.224958,-66.219885,Comerio,PR,Comerio
783,36557,18.3039098,-66.3261795,18.304369,-66.330525,Corozal,PR,Corozal
784,44637,18.0107211,-66.1336127,17.99229,-66.139253,Guayama,PR,Guayama
786,357,18.1554242,-66.2299072,18.128092,-66.268717,La Plata,PR,Aibonito
791,53417,18.1367522,-65.8214866,18.138029,-65.788499,Humacao,PR,Humacao
794,30585,18.1990137,-66.3097816,18.200898,-66.307236,Barranquitas,PR,Barranquitas
795,48736,18.060532,-66.4994733,17.997367,-66.493218,Juana Diaz,PR,Juana Diaz
901,7080,18.4654241,-66.1047235,18.465901,-66.103568,San Juan,PR,San Juan
906,4,18.4644597,-66.0949949,18.410462,-66.060533,San Juan,PR,San Juan
907,17458,18.4526791,-66.078113,18.451647,-66.077003,San Juan,PR,San Juan
909,6230,18.4416104,-66.0671322,18.443384,-66.068133,San Juan,PR,San Juan
911,8623,18.4511276,-66.0562229,18.450828,-66.057859,San Juan,PR,San Juan
912,6801,18.4452894,-66.0601394,18.444187,-66.059859,San Juan,PR,San Juan
913,9312,18.4499696,-66.0426642,18.450735,-66.043352,San Juan,PR,San Juan
915,32820,18.437179,-66.045571,18.437896,-66.048087,San Juan,PR,San Juan
917,21053,18.4206735,-66.0501049,18.422018,-66.050602,San Juan,PR,San Juan
918,18056,18.4210219,-66.0657892,18.419069,-66.062319,San Juan,PR,San Juan
920,17893,18.414292,-66.088042,18.406808,-66.091885,San Juan,PR,San Juan
