City,Neighborhood,park.num,heal.num,lib.num,rest.num,pop,area,rent0,rent1,rent2,rent3,rent4,density
la,North Hollywood (City of LA),14,0,1,73,37180,6865017,1740,2120,2766.666667,3793.333333,4246.666667,54.15864
la,Downtown Los Angeles (City of LA),12,2,5,456,97094,17047166,1420,1744,2268,3112,3484,56.95609
la,Boyle Heights (City of LA),31,1,3,67,48852,8535582,1300,1600,2080,2860,3200,57.23336
la,Park LA Brea (City of LA),10,1,1,129,36865,6401943,2660,3260,4260,5840,6540,57.58408
la,Glendale (Verdugo City),0,0,0,0,156,25915,2540,3100,4040,5540,6200,60.1968
la,Echo Park/Silverlake (City of LA),19,1,2,95,67869,11163835,1480,1820,2360,3240,3620,60.79363
la,Westwood (City of LA),4,0,1,92,47452,7608226,2640,3240,4220,5780,6480,62.36934
la,Florence/South Central (City of LA),0,1,0,23,57110,9071361,1400,1720,2240,3080,3440,62.95637
la,Sawtelle (City of LA)/West Los Angeles (City of LA),13,3,1,137,42147,6659051,2240,2740,3560,4880,5460,63.2928
la,Country Club Park (City of LA)/Mid City (City of LA),6,1,3,77,64458,10080662,1660,2020,2640,3620,4060,63.94223
la,Watts (City of LA),7,0,0,7,51223,7930685,1460,1780,2320,3180,3560,64.58837
la,South Central (City of LA),91,4,9,313,381653,58194441,1462.857143,1788.571429,2331.428571,3197.142857,3582.857143,65.58238
la,Jefferson Park (City of LA),15,0,1,26,49310,7500313,1400,1700,2220,3040,3400,65.74392
la,Palms (City of LA),1,0,0,64,57964,8085207,1960,2400,3140,4300,4820,71.69142
la,Panorama City (City of LA),12,1,1,96,69817,9730355,1710,2080,2720,3730,4180,71.75175
la,Hancock Park (City of LA),6,0,2,234,101147,10822013,1570,1930,2510,3440,3850,93.46413
la,Pico Heights (City of LA),7,1,1,159,59185,4972248,1300,1600,2080,2860,3200,119.03067
la,Koreatown (City of LA),0,0,0,116,37681,2807559,1420,1740,2260,3100,3480,134.21267
la,Westlake (City of LA),13,0,1,67,44998,2327917,1340,1640,2140,2940,3280,193.29727
ny,Mid-Island,21,1,1,2935,85510,37189316,1830,1905,2265,2940,3465,22.99316
ny,South Shore,52,0,5,5100,189185,67496880,1749,1824,2163,2814,3312,28.0287
ny,Stapleton and St. George,51,1,4,4031,123648,30623132,1685,1755,2080,2705,3190,40.37732
ny,Port Richmond,22,1,3,2566,70387,15942343,1815,1900,2250,2925,3450,44.15098
ny,Northeast Queens,27,0,4,4036,87972,19866762,2047.5,2133.75,2531.25,3292.5,3881.25,44.281
ny,Southeast Queens,34,1,6,4672,189171,32480815,1905,1988.333333,2360,3068.333333,3621.666667,58.24084
ny,Canarsie and Flatlands,31,0,5,4434,195027,32600816,1710,1790,2120,2755,3250,59.82274
ny,Central Queens,17,1,4,2510,96831,15991463,1825,1905,2260,2940,3465,60.55168
ny,Rockaways,43,0,6,2469,110899,16313992,1122,1173,1392,1809,2136,67.97784
ny,Southeast Bronx,49,2,10,8833,297927,36630546,1562.5,1635,1935,2517.5,2965,81.33294
ny,North Queens,45,0,9,15668,259767,30893582,1791.428571,1868.571429,2215.714286,2880,3394.285714,84.08445
