"","population","latitude","longitude"
"1242","476","42.3337341","-73.2491986"
"1243","334","42.3501217","-73.0241116"
"1244","151","42.118094","-73.2574968"
"1245","985","42.1868935","-73.2231053"
"1247","16087","42.6984367","-73.0840898"
"1253","731","42.2066825","-73.1132135"
"1254","972","42.382019","-73.3654915"
"1255","915","42.1074964","-73.1186066"
"1256","692","42.5941657","-73.0223195"
"1257","2121","42.085245","-73.3674821"
"1258","374","42.10928","-73.4628862"
"1259","635","42.0754693","-73.2343765"
"1260","240","42.2956959","-73.3425429"
"1262","1238","42.2922019","-73.3192085"
"1264","137","42.2315896","-73.2024283"
"1266","1463","42.3123377","-73.3878245"
"1267","7989","42.6716162","-73.2469811"
"1270","778","42.5152719","-73.0311664"
"1301","17700","42.6267614","-72.6015304"
"1330","1506","42.5139469","-72.8215166"
"1331","13263","42.5624081","-72.1910798"
"1337","2596","42.6893075","-72.5822487"
"1338","187","42.5726518","-72.824428"
"1339","1438","42.6037764","-72.8896443"
"1340","1701","42.6947256","-72.7110786"
"1341","1833","42.4969374","-72.7094144"
"1342","1492","42.5438893","-72.6094578"
"1343","75","42.6576246","-72.978931"
"1344","1498","42.6134177","-72.4264274"
"1346","533","42.6932749","-72.8231126"
"1347","166","42.5592938","-72.5187527"
"1349","1091","42.5630607","-72.4821218"
"1350","121","42.7277722","-72.9853464"
"1351","2270","42.5398798","-72.521689"
"1354","1500","42.6240761","-72.5086428"
"1355","878","42.4585218","-72.3272192"
"1360","3032","42.677091","-72.4538758"
"1364","7969","42.6151524","-72.2899024"
"1366","1277","42.4756211","-72.192468"
"1367","522","42.6955322","-72.9091479"
"1368","1261","42.6794559","-72.1769345"
"1370","4084","42.593338","-72.7269413"
"1373","4600","42.4738619","-72.6156115"
"1375","3684","42.4667623","-72.5468548"
"1376","5247","42.5952797","-72.5550018"
"1378","774","42.6735325","-72.3532129"
"1379","813","42.5563098","-72.407148"
"1420","40337","42.5849248","-71.8168623"
"1430","6089","42.6570054","-71.9234423"
"1431","3074","42.6762927","-71.8325227"
"1432","7089","42.5665731","-71.575135"
"1434","1795","42.5390875","-71.6116133"
"1436","3336","42.6033745","-72.0883953"
"1438","559","42.5622434","-72.0314018"
"1440","20347","42.5865157","-71.9880619"
"1450","10646","42.61176","-71.5652689"
"1451","4747","42.5019084","-71.5682014"
"1452","4382","42.4895983","-72.0028783"
"1453","40883","42.5199598","-71.7630745"
"1460","8924","42.5359311","-71.4905688"
"1462","10086","42.5826069","-71.7204641"
"1463","11497","42.6706425","-71.6028575"
"1464","7211","42.5736544","-71.6409862"
"1467","316","42.492367","-71.609303"
"1468","4021","42.5427668","-72.0683447"
"1469","6801","42.6650588","-71.6953325"
"1473","7277","42.5546","-71.9054402"
"1474","2125","42.6696848","-71.7527513"
"1475","10270","42.6681596","-72.0556441"
"1501","16075","42.1987079","-71.8460062"
"1503","2866","42.384929","-71.6338895"
"1504","9026","42.0399909","-71.5324059"
"1505","4355","42.3550489","-71.716157"
"1506","3390","42.1817928","-72.1074733"
"1507","12981","42.1339347","-71.9680247"
"1510","13606","42.4118873","-71.6900054"
"1515","2183","42.2096822","-72.0401777"
"1516","8500","42.0530722","-71.7522414"
"1518","2974","42.1274771","-72.1188178"
"1519","6595","42.2034045","-71.6797386"
"1520","13997","42.3363715","-71.8506255"
"1521","2481","42.0467977","-72.1801486"
"1522","3310","42.3756339","-71.8673822"
"1523","7582","42.4828194","-71.675513"
"1524","6696","42.2496028","-71.9192167"
"1525","290","42.1067938","-71.6305182"
"1527","13246","42.1922464","-71.777649"
"1529","3190","42.036642","-71.5787791"
"1531","999","42.3191249","-72.1308135"
"1532","14155","42.3233423","-71.6462358"
"1534","5631","42.1420737","-71.6433476"
"1535","4680","42.2675643","-72.0668759"
"1536","6888","42.2313092","-71.6926418"
"1537","2248","42.158966","-71.8970514"
"1540","11291","42.1161675","-71.8573686"
"1541","3413","42.4541251","-71.8775397"
"1542","2202","42.2042515","-71.9089069"
"1543","7973","42.388977","-71.9705136"
"1545","35299","42.2847672","-71.7142277"
"1550","16719","42.0596688","-72.0340396"
"1560","4527","42.1753945","-71.6742228"
"1561","330","42.4439704","-71.6855834"
"1562","11688","42.2472111","-71.9918667"
"1564","7808","42.4479238","-71.7760449"
"1566","6294","42.1032138","-72.0795453"
"1568","7480","42.1765255","-71.6035879"
"1569","13569","42.0558915","-71.6312939"
"1570","16767","42.0475322","-71.8469522"
"1571","11390","42.0537777","-71.9350751"
"1581","18272","42.2684262","-71.6133087"
"1583","7591","42.3694173","-71.7850362"
"1585","4554","42.2407955","-72.1626445"
"1588","9733","42.119228","-71.6718215"
"1590","8875","42.1320512","-71.750318"
"1602","22819","42.2715634","-71.8499909"
"1603","19916","42.2446367","-71.8439252"
"1604","34677","42.253254","-71.7679574"
"1605","26221","42.2896832","-71.7877932"
"1606","19077","42.3152487","-71.7957414"
"1607","8351","42.2259596","-71.7889104"
"1608","3888","42.2619798","-71.8014615"
"1609","22421","42.2851138","-71.829987"
"1610","23945","42.247049","-71.8083657"
"1611","2242","42.2376041","-71.8758384"
"1612","4845","42.2966362","-71.9296071"
"1701","31217","42.3201685","-71.440409"
"1702","37206","42.2825761","-71.4367603"
"1718","469","42.5198155","-71.4292828"
"1719","4996","42.4859849","-71.5209848"
"1720","21361","42.483953","-71.4384947"
"1721","16593","42.2577546","-71.4735257"
"1730","13221","42.4993313","-71.2819054"
"1731","1396","42.4567483","-71.279484"
"1740","4897","42.4399368","-71.6018757"
"1741","4852","42.5366203","-71.3618321"
"1742","17726","42.4629107","-71.3644962"
"1745","397","42.2930726","-71.4991628"
"1746","13547","42.1959508","-71.4534301"
"1747","5911","42.1240798","-71.5334157"
"1748","14925","42.2241036","-71.5404842"
"1749","19063","42.3890712","-71.5458637"
"1752","38499","42.3496175","-71.547214"
"1754","10106","42.4259551","-71.4562562"
"1756","5839","42.0944698","-71.544902"
"1757","28061","42.1586917","-71.5214188"
"1760","32786","42.2848223","-71.3488109"
"1770","4119","42.2335699","-71.3746897"
"1772","9370","42.3028765","-71.5308277"
"1773","5112","42.4255064","-71.3108115"
"1775","6590","42.4296884","-71.512514"
"1776","17659","42.3833674","-71.4210704"
"1778","13109","42.3436865","-71.381186"
"1801","38903","42.4886587","-71.154425"
"1803","24487","42.5032267","-71.201713"
"1810","33201","42.6480437","-71.1617514"
"1821","30310","42.5493295","-71.2517245"
"1824","24911","42.59079","-71.3551823"
"1826","29422","42.679723","-71.3006796"
"1827","3179","42.6760778","-71.5005167"
"1830","25137","42.7963128","-71.0534357"
"1832","22060","42.791114","-71.1328585"
"1833","8183","42.7278855","-70.9820343"
"1834","6459","42.7539","-71.0159351"
"1835","13682","42.7511566","-71.0942419"
"1840","4733","42.7067633","-71.1604026"
"1841","47225","42.7120153","-71.1648727"
"1843","24425","42.6899744","-71.1603833"
"1844","47249","42.742751","-71.178588"
"1845","28352","42.6739092","-71.0913339"
"1850","15237","42.6560445","-71.3033091"
