Zip Code,Inspection Date,Score
78723,1/21/2016,97
78751,1/21/2016,98
78756,1/21/2016,87
78726,1/21/2016,96
78653,1/21/2016,92
78725,1/21/2016,95
78751,1/21/2016,97
78757,1/21/2016,97
78745,1/21/2016,84
78726,1/21/2016,100
78751,1/21/2016,95
78746,1/21/2016,96
78701,1/21/2016,89
78741,1/21/2016,85
78736,1/21/2016,98
78753,1/21/2016,97
78701,1/21/2016,91
78660,1/21/2016,97
78751,1/21/2016,86
78702,1/21/2016,100
78727,1/21/2016,91
78705,1/21/2016,94
78741,1/21/2016,93
78701,1/21/2016,78
78660,1/21/2016,97
78750,1/21/2016,100
78731,1/21/2016,100
78704,1/21/2016,100
78701,1/21/2016,86
78758,1/21/2016,87
78750,1/21/2016,100
78702,1/21/2016,94
78758,1/21/2016,92
78753,1/21/2016,97
78759,1/21/2016,93
78704,1/21/2016,100
78729,1/21/2016,97
78701,1/21/2016,88
78753,1/22/2016,100
78746,1/22/2016,96
78701,1/22/2016,95
78741,1/22/2016,95
78751,1/22/2016,87
78757,1/22/2016,99
78703,1/22/2016,98
78704,1/22/2016,95
78745,1/22/2016,97
78702,1/22/2016,100
78750,1/22/2016,97
78726,1/22/2016,99
78745,1/22/2016,97
78751,1/22/2016,97
78758,1/22/2016,86
78744,1/22/2016,100
78701,1/22/2016,78
78751,1/22/2016,97
78744,1/22/2016,94
78753,1/22/2016,95
78701,1/22/2016,76
78701,1/22/2016,94
78705,1/22/2016,85
78701,1/22/2016,84
78757,1/22/2016,100
78746,1/22/2016,77
78758,1/22/2016,89
78757,1/22/2016,95
78705,1/22/2016,100
78751,1/22/2016,88
78758,1/22/2016,97
78701,1/22/2016,90
78753,1/22/2016,94
78653,1/22/2016,95
78751,1/22/2016,89
78701,1/25/2016,89
78701,1/25/2016,92
78747,1/25/2016,89
78748,1/25/2016,89
78703,1/25/2016,83
78749,1/25/2016,100
78726,1/25/2016,87
78752,1/25/2016,97
78759,1/25/2016,97
78704,1/25/2016,96
78759,1/25/2016,77
78701,1/25/2016,88
78704,1/25/2016,100
78746,1/25/2016,97
78705,1/25/2016,86
78758,1/25/2016,90
78726,1/25/2016,96
78753,1/25/2016,100
78702,1/25/2016,94
78660,1/25/2016,99
78654,1/25/2016,94
78746,1/25/2016,86
78753,1/25/2016,99
78703,1/25/2016,90
78704,1/25/2016,88
