Location Name,ZIP
Trinity Park,90011
Woodland Hills Recreation Center,91367
Angels Gate Park,90731
Balboa Park,91316
Knapp Ranch Park,91307
Robertson Recreation Youth Center - Public Computer Center,90035
Leimert Plaza Park,90008
Los Angeles Maritime Museum,90731
Woodbine Park,90034
Encino 18-Hole Golf Course,91436
Sherman Oaks / East Valley Adult Center,91423
Lou Costello (Hostetter) Recreation Center - Public Computer Center,90023
Echo Park Community Center,90026
Vineyard Recreation Center,90016
Winnetka Recreation Center,91306
Leland Park,90731
Algin Sutton Recreation Center - Public Computer Center,90044
Green Meadows Tennis Courts,90003
Loren Miller Park,90018
Algin Sutton Recreation Center,90044
Ernest E. Debs Regional Park,90032
Stoney Point Park,91311
Watts Senior Citizen Center - Public Computer Center,90002
Hansen Dam Skate Park,91342
Venice of America Centennial Park,90291
Oakwood Tennis Courts,90291
Mecca Avenue Park,91356
Downey Recreation Center,90031
Lincoln Park Recreation Center,90031
Deervale-Stone Canyon Park,91403
Fernangeles Park,91352
William Nickerson Gardens Recreation Center,90059
Granada Hills Park,91344
Normandale Recreation Center - Public Computer Center,90501
Poinsettia Park,90046
Four Oaks Park,91307
Encino Glen,91436
Hubert H. Humphrey Youth Center - Public Computer Center,91331
Hubert H. Humphrey Recreation Center - Public Computer Center,91331
Watts Rose Garden,90002
Hansen Dam - Gabrielino Equestrian Center,91342
Cleland Avenue Bicentennial Park,90042
Garvanza Skate Park,90042
Jim Gilliam Recreation Center,90008
Encino Community Center,91316
Lincoln Park Lake,90031
Valley Plaza Park,91606
El Sereno Park,90032
Rustic Canyon Rec Center Park,90402
Van Nuys Sherman Oaks Tennis Courts,91423
Peck Park Youth Center - Public Computer Center,90732
Laurel and Hardy Park,90027
Lookout Point Park,90731
De Garmo Park,91352
Jaime Beth Slavin Park,91605
Lake View Terrace Tennis Courts,91342
Eddleston Park,91326
EXPO Center / Roy A. Anderson Recreation Center - Public Computer Center,90037
Mid-Valley Intergenerational Multipurpose Center,91402
Howard Finn Park & Community Garden,91402
Hollenbeck Recreation Center,90033
Circle Park (5th Ave.),90043
Martin J. Bogdanovich Park,90732
Vista del Mar Park,90293
Richard Alatorre Park,90041
Poinsettia Park,90046
Highland Park,90042
Titmouse Park,90293
Tommy Lasorda's Field of Dreams,90039
Reseda Pool,91335
Loren Miller Recreation Center,90018
Fairfax Senior Citizen Center - Public Computer Center,90046
Lincoln Park,90031
Holleigh Bernson Memorial Park,91326
Pershing Square,90012
El Pueblo de Los Angeles (Olvera Street),90012
Silver Lake Meadows Park,90039
Green Meadows Recreation Center,90003
Banning Recreation Center,90744
Downey Park,90031
W. M. Keck Amphitheatre,90037
Los Feliz 3-Par Golf Course,90039
Southeast Valley Roller and Skateboard Park,91352
Los Angeles Plaza Park,90012
North Hollywood Park,91601
Glassell Park Tennis Courts,90065
Stoner Park,90025
Moonshine Canyon Park,91326
Yosemite Pool,90041
Sylmar Pool,91342
Ken Malloy Harbor Regional Park,90710
Oakwood Recreation Center - Public Computer Center,90291
Normandie Recreation Center,90006
Venice Beach Recreation Area,90291
Devonshire House,91324
Drew St,90065
Northridge Recreation Center - Public Computer Center,91324
Normandale Recreation Center,90501
Montecito Heights Park,90031
Balboa Park,91316
Tobias Avenue Park,91402
Los Angeles High Memorial Park,90019
EXPO Center / Roy A. Anderson Recreation Center,90037
Robert L. Burns Park,90004
Roger Jessup Park,91331
Porter Ranch Park,91326
Ascot Hills Park,90032
Lafayette Park,90057
Sepulveda Dam Recreation Area,91316
Banning Recreation Center - Public Computer Center,90744
Cohasset-Melba Park,91307
Rancho Park 18-Hole Golf Course,90064
LACES (Los Angeles Center for Enriched Studies) Pool,90035
South Seas House,90018
South Park Recreation Center - Public Computer Center,90011
Imperial Courts Recreation Center - Public Computer Center,90059
Westchester Tennis Courts,90045
Latham Park,90011
Hansen Dam Recreational Lake,91342
Griffith Park,90027
North Atwater Park,90039
Elysian Park - Grace E. Simons Lodge,90012
Roosevelt 9-Hole Golf Course,90027
Elinor and Don Richardson Family Park,90007
Fehlhaber-Houk Park,91042
Downey Pool,90031
Mount Olympus Park,90031
Woodley Lakes Golf Course,91406
Ritchie Valens Skate Park Plaza,91331
Rosecrans Recreation Center,90247
Griffith Park - Bette Davis Picnic Area,90027
Henry Alvarez Memorial Park (Ramona Gardens),90033
Dorothy J. and Benjamin B. Smith Park,90028
Cheviot Hills Pool,90064
Grape Street Pocket Park,90059
Claude Pepper Senior Citizen Center,90035
Griffith Park Pool,90027
109th Street Park,90059
Lake Street Community Center,90057
Devonshire Arleta Park,91331
Van Nuys Recreation Center Tennis Courts,91405
Runnymede Tennis Courts,91306
Ocean View Farms Community Garden,90066
Peck Park,90732
Selma Park,90028
Highland Park Recreation Center - Public Computer Center,90042
Elysian Park - Bishop Canyon,90012
Alizondo Drive Park,91367
Andres and Maria Cardenas Recreation Center,91402
Avalon-San Pedro Park,90011
4916 S. McKinley Avenue Pocket Park,90011
Devonwood Park,91345
Highland Park Pool,90042
Evergreen Recreation Center,90033
Woodley Avenue Park,91436
Van Ness Park,90043
Ritchie Valens Park,91331
109th Street Recreation Center,90059
Northridge Pool,91324
Lemon Grove Recreation Center,90029
Cahuenga Peak,90068
Montecito Heights Tennis Courts,90031
Harbor Pool,90744
Lincoln Park,90031
Vineyard Park,90016
Loren Miller Youth Center - Public Computer Center,90018
Brand Park,91345
Stonehurst Park,91352
Vineyard Senior Citizen Center,90016
Taxco Trails Park,91304
Hubert H. Humphrey Memorial Park,91331
York Boulevard Pocket Park,90042
Green Meadows Park,90003
Toberman Recreation Center - Public Computer Center,90015
Reseda Recreation Center,91335
Vermont Square,90037
Lanark Tennis Courts,91304
Shatto Park,90020
Laurel Grove Park,91606
Prospect Park,90033
Van Nuys  Sherman Oaks Recreation Center,91423
Tiara Street Park,91601
York Boulevard Pocket Park,90042
Balboa 18-Hole Golf Course,91436
Studio City Recreation Center (Beeman Park),91604
Porter Ridge Park,91326
MacArthur Park Lake,90057
Sheldon-Arleta / Cesar Chavez Park,91352
Point Fermin - Wilder's Addition,90731
South Weddington Park,91604
Stoner Recreation Center,90025
Gilbert W. Lindsay Skate Park,90011
James Slauson Park,90011
Drum Barracks Civil War Museum,90744
Algin Sutton Park,90044
Valley Plaza Recreation Center - Public Computer Center,91606
Reseda Park,91335
Lou Costello (Hostetter) Park,90023
Queen Anne Tennis Courts,90019
Valencia (Ross) Community Park,90033
Lemon Grove Park,90029
Baldwin Hills Park,90016
Amistad Park,91331
Haines Canyon Park,91042
Stoner Tennis Courts,90025
Brand Park Memory Garden,91345
Lazy J Ranch Park,91304
Cypress Park,90065
Balboa Sports Complex,91316
Bolton Hall Historical Museum,91042
Rio De Los Angeles State Park,90065
Banning Park,90744
Woodley Avenue Park,91436
Saint Andrews Park,90047
Carthay Circle Park,90048
109th Street Tennis Courts,90059
Barrington Tennis Courts,90049
Studio City Recreation Center (Beeman Park),91604
Baldwin Hills Recreation Center,90016
Sun Valley Recreation Center,91352
Lou Costello (Hostetter) Park,90023
Canal Park,90291
Toberman Recreation Center,90015
Ramona Gardens Recreation Center,90033
