"","NAICS","ZIP"
"419",722110,91344
"420",722110,90042
"421",722110,90036
"422",722110,90028
"423",722110,91406
"424",722110,91605
"425",722110,90034
"426",722110,90071
"427",722110,90071
"428",722110,91326
"429",722110,90033
"430",722110,90018
"431",722110,90046
"432",722110,90013
"433",722110,90028
"434",722110,91607
"435",722110,90007
"436",722110,90028
"437",722110,91344
"438",722110,91405
"439",722110,90024
"440",722110,90045
"441",722110,90042
"442",722110,90014
"443",722110,90027
"444",722110,91356
"445",722110,90028
"446",722110,90035
"447",722110,90044
"448",722110,90015
"449",722110,90043
"450",722110,91605
"451",722110,90045
"452",722110,90029
"453",722110,91405
"454",722110,91411
"455",722110,90006
"456",722110,91356
"457",722110,91364
"458",722110,90004
"459",722110,91344
"460",722110,91604
"461",722110,90024
"462",722110,90008
"463",722110,90036
"464",722110,90028
"465",722110,91311
"466",722110,91335
"467",722110,90012
"468",722110,90019
"469",722110,91344
"470",722110,90006
"471",722110,90006
"472",722110,90501
"473",722110,90045
"474",722110,90013
"475",722110,91324
"476",722110,90064
"477",722110,90045
"478",722110,90272
"479",722110,91344
"480",722110,90062
"481",722110,90293
"482",722110,90034
"483",722110,91423
"484",722110,90006
"485",722110,91601
"486",722110,91602
"487",722110,91607
"488",722110,91401
"489",722110,91602
"490",722110,91343
"491",722110,90049
"492",722110,90045
"493",722110,91303
"494",722110,90035
"495",722110,91605
"496",722110,90006
"497",722110,91311
"498",722110,90048
"499",722110,91604
"500",722110,90016
"501",722110,91343
"502",722110,90037
"503",722110,90012
"504",722110,91356
"505",722110,90027
"506",722110,90063
"507",722110,91325
"508",722110,90033
"509",722110,90014
"510",722110,91607
"511",722110,90025
"512",722110,90035
"513",722110,90019
"514",722110,90010
"515",722110,90291
"516",722110,90024
"517",722110,91326
"518",722110,90731
"519",722110,90027
"520",722110,90034
"521",722110,90005
"522",722110,90020
"523",722110,90014
"524",722110,91307
"525",722110,90044
"526",722110,90012
"527",722110,91103
"528",722110,90012
"529",722110,90015
"530",722110,90011
"531",722110,90026
"532",722110,90011
"533",722110,91406
"534",722110,91606
"535",722110,90710
"536",722110,91405
"537",722110,90293
"538",722110,91606
"539",722110,90036
"540",722110,90027
"541",722110,90028
"542",722110,90043
"543",722110,90006
"544",722110,90064
"545",722110,90071
"546",722110,90015
"547",722110,90006
"548",722110,90064
"549",722110,90048
"550",722110,90019
"551",722110,91402
"552",722110,90012
"553",722110,90024
"554",722110,91326
"555",722110,91605
"556",722110,90048
"557",722110,91304
"558",722110,91405
"559",722110,90013
"560",722110,91364
"561",722110,90006
"562",722110,91342
"563",722110,90012
"564",722110,90029
"565",722110,91307
"566",722110,90732
"567",722110,91352
"568",722110,90048
"569",722110,90035
"570",722110,90031
"571",722110,91324
"572",722110,90012
"573",722110,90011
"574",722110,91335
"575",722110,91335
"576",722110,91364
"577",722110,90020
"578",722110,91324
"579",722110,90023
"580",722110,91364
"581",722110,90064
"582",722110,90011
"583",722110,90732
"584",722110,90015
"585",722110,90005
"586",722110,91335
"587",722110,90034
"588",722110,91406
"589",722110,90065
"590",722110,90011
"591",722110,90291
"592",722110,91356
"593",722110,90025
"594",722110,90292
"595",722110,91403
"596",722110,90025
"597",722110,90005
"598",722110,90723
"599",722110,91411
"600",722110,90036
"601",722110,91405
"602",722110,90025
"603",722110,90038
"604",722110,91331
"605",722110,91345
"606",722110,90017
"607",722110,90045
"608",722110,91311
"609",722110,90731
"610",722110,90048
"611",722110,90064
"612",722110,91352
