City,Neighborhood,park.num,heal.num,lib.num,rest.num,pop,area,rent0,rent1,rent2,rent3,rent4,density
SF,Castro/Noe Valley,67,2,2,215,31124,3691502,2640,3220,3980,5460,6540,0.008431256
SF,Haight-Ashbury,209,4,1,193,39169,4372283,2540,3120,3840,5260,6300,0.008958478
NYC,Jamaica,37,4,8,8251,289130,32028065,1701.428571,1778.571429,2104.285714,2736.428571,3225,0.009027395
Chicago,Gold Coast,6,2,1,2921,37726,4176317,2020,2300,2720,3460,4040,0.009033318
SF,Ingelside-Excelsior/Crocker-Amazon,96,4,2,189,79407,8712507,2140,2620,3240,4440,5320,0.009114139
SF,Sunset,21,3,2,251,56023,6122506,2360,2880,3560,4880,5840,0.009150338
LA,Hancock Park (City of LA),6,0,2,234,101147,10822013,1570,1930,2510,3440,3850,0.009346413
NYC,Southwest Queens,36,0,6,10003,266265,28146670,1841.25,1923.75,2280,2966.25,3493.125,0.009459911
NYC,Northeast Bronx,14,1,5,4541,190668,20054970,1518.75,1582.5,1878.75,2445,2880,0.009507269
Chicago,Uptown,13,5,1,3308,65790,6887350,1360,1560,1840,2340,2740,0.009552295
SF,North Beach/Chinatown,40,5,1,415,26237,2602499,2280,2780,3440,4720,5640,0.010081464
NYC,Northwest Queens,46,0,8,16729,201192,18509040,1820,1902.5,2255,2932.5,3457.5,0.010869932
Chicago, Edgewater,8,1,1,1862,42752,3899123,1360,1540,1820,2320,2700,0.010964517
NYC,West Central Queens,33,1,6,10101,245746,22362041,1852.5,1931.25,2295,2985,3517.5,0.010989426
SF,Western Addition/Japantown,47,5,2,235,33021,2889747,2440,3000,3700,5060,6080,0.011426952
SF,Inner Mission/Bernal Heights,119,16,2,545,69333,6034796,2140,2600,3220,4400,5280,0.011488872
NYC,East New York and New Lots,36,3,4,4312,187855,15868976,1605,1680,1995,2587.5,3060,0.011837878
LA,Pico Heights (City of LA),7,1,1,159,59185,4972248,1300,1600,2080,2860,3200,0.011903067
NYC,Greenpoint,49,3,3,10151,127051,10303626,1860,1942.5,2302.5,3000,3532.5,0.012330708
NYC,Northwest Brooklyn,88,4,6,20364,224199,17568550,2298,2400,2847,3702,4362,0.012761383
NYC,Hunts Point and Mott Haven,48,2,2,4696,136591,10631046,1380,1443.75,1710,2223.75,2621.25,0.012848312
NYC,Southwest Brooklyn,24,0,5,8581,199271,15073228,1670,1740,2065,2690,3165,0.013220194
NYC,Southern Brooklyn,46,4,9,9458,285502,21519951,1473.75,1533.75,1822.5,2366.25,2793.75,0.013266852
LA,Koreatown (City of LA),0,0,0,116,37681,2807559,1420,1740,2260,3100,3480,0.013421267
NYC,Lower Manhattan,21,1,1,9060,48376,3430709,2197.5,2305,2727.5,3552.5,4177.5,0.014100875
NYC,West Queens,84,4,8,22957,480501,32582602,1842.857143,1926.428571,2282.142857,2965.714286,3497.142857,0.014747165
NYC,Sunset Park,11,0,1,8220,127863,7963900,1687.5,1762.5,2092.5,2722.5,3210,0.016055325
SF,Polk/Russian Hill (Nob Hill),33,6,0,376,55984,3372018,1940,2380,2940,4020,4820,0.016602521
SF,Hayes Valley/Tenderloin/North of Market,59,9,1,432,31176,1737493,1520,1860,2300,3140,3780,0.017943094
NYC,East Harlem,33,3,2,4771,109972,5753161,1365,1425,1687.5,2197.5,2587.5,0.019115057
NYC,Flatbush,23,4,5,9638,296583,15436207,1518.75,1578.75,1875,2437.5,2876.25,0.019213464
LA,Westlake (City of LA),13,0,1,67,44998,2327917,1340,1640,2140,2940,3280,0.019329727
SF,Chinatown,27,1,1,217,13768,699434,1620,2000,2460,3360,4040,0.019684488
NYC,Borough Park,27,0,7,9204,331983,16418148,1665,1740,2058.75,2677.5,3153.75,0.02022049
NYC,Chelsea and Clinton,22,0,6,42057,144896,7128963,2100,2195,2602.5,3382.5,3990,0.020324976
NYC,Central Brooklyn,64,2,11,11147,318898,15586339,1584,1653,1959,2547,3003,0.020460096
NYC,Bushwick and Williamsburg,33,6,3,7636,210468,9881339,1530,1595,1895,2460,2905,0.021299543
NYC,Greenwich Village and Soho,33,1,2,23259,83749,3742697,2350,2450,2910,3780,4460,0.022376644
NYC,High Bridge and Morrisania,57,6,4,5669,207631,7819441,1380,1440,1705,2215,2615,0.026553177
NYC,Inwood and Washington Heights,34,2,4,9368,248508,8847493,1533,1599,1899,2469,2913,0.028087957
NYC,Central Harlem,36,8,6,5692,162652,5723388,1356,1416,1680,2184,2577,0.028418832
NYC,Gramercy Park and Murray Hill,25,2,7,25672,134516,4349496,2497.5,2613.75,3097.5,4027.5,4751.25,0.030926802
NYC,Lower East Side,43,4,5,25471,198781,5367659,2015,2100,2490,3240,3820,0.03703309
NYC,Upper West Side,27,0,5,10978,214881,5438956,2410,2520,2990,3885,4585,0.039507766
NYC,Upper East Side,14,2,5,14149,219277,5139760,2607.5,2725,3232.5,4202.5,4960,0.042662887
