Score,ZIP
100,78654
96,78654
94,78654
94,78654
73,78654
98,78660
100,78660
92,78660
86,78660
93,78660
97,78660
77,78660
76,78660
95,78660
90,78660
76,78660
100,78660
100,78660
86,78660
98,78660
100,78660
87,78660
97,78660
83,78660
100,78660
81,78660
75,78660
100,78660
98,78660
75,78660
100,78660
100,78660
100,78660
90,78660
82,78660
100,78660
97,78660
92,78660
100,78660
100,78660
99,78660
99,78660
100,78660
90,78660
100,78660
81,78660
82,78660
86,78660
96,78660
90,78660
85,78660
91,78660
98,78660
94,78660
89,78660
93,78660
100,78660
82,78660
84,78660
86,78660
100,78660
94,78660
89,78660
82,78660
83,78660
80,78660
72,78660
82,78660
83,78660
100,78660
95,78660
100,78660
97,78660
95,78660
96,78660
100,78660
89,78660
86,78660
100,78660
100,78660
92,78660
100,78660
89,78660
100,78660
99,78660
84,78660
93,78660
95,78660
92,78660
100,78660
95,78660
89,78660
100,78660
86,78660
95,78660
94,78660
86,78660
80,78660
93,78660
91,78660
100,78660
90,78660
95,78660
99,78660
100,78660
97,78660
100,78660
100,78660
83,78660
97,78660
100,78660
100,78660
90,78660
100,78660
100,78660
100,78660
92,78660
98,78660
74,78660
93,78660
79,78660
88,78660
97,78660
91,78660
100,78660
84,78660
86,78660
92,78660
94,78660
92,78660
77,78660
92,78660
98,78660
90,78660
80,78660
78,78660
84,78660
63,78660
83,78660
81,78660
100,78660
100,78660
82,78660
82,78660
83,78660
83,78660
97,78660
76,78660
85,78660
96,78660
88,78660
84,78660
93,78660
88,78660
90,78660
84,78660
88,78660
98,78660
78,78660
100,78660
94,78660
95,78660
100,78660
100,78660
93,78660
89,78660
93,78660
83,78660
77,78660
100,78660
99,78660
91,78660
97,78660
96,78660
84,78660
100,78660
96,78660
100,78660
84,78660
95,78660
100,78660
99,78660
94,78660
100,78660
100,78660
100,78660
97,78660
100,78660
77,78660
89,78660
100,78660
100,78660
81,78660
90,78660
95,78660
100,78660
98,78660
96,78660
100,78660
100,78660
100,78660
96,78660
96,78660
90,78660
91,78660
100,78660
94,78660
100,78660
91,78660
91,78660
97,78660
95,78660
97,78660
97,78660
97,78660
86,78660
94,78660
99,78660
96,78660
100,78660
100,78660
97,78660
96,78660
97,78660
100,78660
98,78660
100,78660
93,78660
98,78660
97,78660
100,78660
100,78660
93,78660
93,78660
98,78660
97,78660
96,78660
93,78660
93,78660
94,78660
94,78660
86,78660
100,78660
89,78660
97,78660
91,78660
89,78660
97,78660
99,78660
