Zip Code,Inspection Date,Score
78660,3/25/2014,75
78735,2/23/2015,93
78750,3/28/2014,100
78749,1/8/2015,100
78703,3/23/2015,95
78757,10/18/2016,91
78702,5/20/2015,100
78745,5/15/2014,100
78705,8/8/2016,96
78702,12/13/2016,95
78726,3/4/2014,100
78613,11/8/2016,84
78660,2/24/2014,100
78705,5/31/2016,100
78748,2/27/2014,93
78756,10/29/2015,97
78721,3/11/2015,100
78701,3/19/2015,83
78705,4/20/2016,93
78721,10/4/2016,98
78741,5/10/2016,87
78748,7/3/2014,100
78752,10/4/2016,96
78758,11/21/2014,93
78757,5/23/2016,83
78725,10/2/2014,80
78741,3/3/2016,93
78752,2/4/2014,100
78702,11/20/2015,90
78731,5/23/2016,100
78723,2/19/2015,92
78744,2/18/2015,94
78748,2/4/2015,87
78702,3/15/2016,85
78737,3/2/2015,83
78745,4/14/2015,78
78756,7/18/2014,97
78723,4/18/2014,94
78759,7/18/2016,100
78759,12/30/2014,100
78759,1/20/2015,84
78704,8/16/2016,91
78701,4/7/2014,85
78757,3/10/2014,100
78744,6/7/2016,86
78705,3/29/2016,93
78730,1/3/2017,96
78746,5/11/2016,94
78759,12/5/2016,91
78744,4/3/2015,93
78660,5/10/2016,98
78717,11/25/2015,97
78705,4/5/2016,90
78701,9/29/2016,97
78735,5/8/2014,100
78749,8/13/2015,90
78704,6/23/2016,99
78729,8/11/2014,90
78731,8/29/2014,100
78721,11/19/2015,94
78705,2/24/2015,79
78726,12/15/2015,87
78701,1/15/2015,91
78728,8/9/2016,80
78728,4/1/2016,88
78736,4/24/2014,89
78744,8/4/2015,82
78757,6/23/2014,94
78745,12/15/2016,86
78748,12/30/2015,100
78753,1/22/2016,78
78702,12/30/2014,92
78705,2/23/2016,89
78723,11/22/2016,87
78660,4/22/2015,75
78735,3/26/2014,97
78722,3/18/2015,82
78728,11/26/2014,97
78660,2/25/2014,100
78748,11/9/2016,100
78702,10/17/2016,93
78753,5/22/2014,93
78757,1/10/2017,91
78756,11/12/2015,96
78756,5/7/2015,93
78723,10/6/2014,77
78738,11/17/2016,98
78704,2/11/2015,89
78723,9/10/2015,86
78702,3/12/2015,70
78757,6/24/2016,80
78745,8/1/2016,96
78702,8/15/2016,91
78702,4/6/2016,97
78705,6/19/2015,95
78727,12/1/2016,98
78704,11/4/2016,94
78745,6/23/2014,79
78704,7/13/2016,97
78750,10/30/2015,90
78745,5/19/2014,82
78751,5/26/2016,87
78751,12/31/2014,93
78727,7/13/2016,83
78748,9/16/2015,83
78704,8/20/2014,97
78717,1/27/2015,97
78701,1/15/2015,87
78728,8/17/2015,100
78702,6/10/2015,89
78757,1/15/2015,100
78705,10/24/2014,100
78745,9/13/2016,74
78702,12/20/2016,95
78757,6/16/2015,96
78748,4/22/2016,99
78738,5/23/2014,100
78750,9/29/2016,96
78752,4/21/2016,96
78728,12/11/2014,94
78737,8/3/2016,90
78705,4/10/2015,100
78748,4/14/2016,90
78751,5/29/2014,100
78756,11/1/2016,95
78703,3/3/2015,96
78749,9/16/2014,100
78745,5/12/2015,94
78758,4/12/2016,96
78701,11/24/2014,100
78723,7/16/2015,97
78723,3/5/2014,88
78702,7/18/2016,83
78741,6/24/2014,89
78729,12/3/2015,81
78725,11/9/2015,78
78748,8/18/2015,76
78730,5/24/2016,90
78717,6/21/2016,93
78745,10/25/2016,95
78741,2/10/2014,83
78727,5/6/2015,75
78613,4/15/2015,84
78745,11/30/2016,99
78744,3/24/2014,93
78753,11/21/2016,84
78702,6/8/2016,78
78721,8/5/2014,95
78741,3/4/2015,74
78704,5/4/2016,96
78757,9/10/2015,90
78735,9/10/2014,77
78748,8/14/2015,79
78757,4/12/2016,75
78726,3/13/2015,100
78748,12/19/2014,100
78701,2/9/2014,76
78727,8/11/2015,81
78613,4/15/2015,92
78613,4/24/2014,96
78613,5/10/2016,84
78660,8/21/2014,100
78746,12/22/2014,86
78613,10/22/2015,92
78613,10/28/2014,90
78613,12/12/2016,94
78757,5/9/2016,92
78749,8/16/2016,94
78704,5/11/2016,98
78613,5/27/2016,81
78660,1/22/2015,100
78757,6/20/2014,93
78738,10/27/2015,97
78704,1/6/2015,100
78757,4/7/2014,93
78757,12/5/2016,90
78746,6/8/2015,96
78726,7/1/2015,83
78721,10/23/2014,96
78721,1/30/2015,95
78748,1/10/2017,99
